time;sender_id;receiver_id;SelfOrOther;lEye_lEye.x;lEye_lEye.y;lEye_rEye.x;lEye_rEye.y;rEye_lEye.x;rEye_lEye.y;rEye_rEye.x;rEye_rEye.y;
6.675014;0;1;SelfAtOther;48.95649;18.89975;51.01712;18.87994;50.21148;18.9075;52.22768;18.88776;
6.675014;1;0;OtherAtSelf;12.81375;24.26093;14.47341;24.27982;14.3817;24.24677;15.99807;24.2666;
6.684147;0;1;SelfAtOther;51.35016;17.93347;53.36197;17.935;52.55349;17.96899;54.51189;17.97055;
6.684147;1;0;OtherAtSelf;25.68022;43.6145;27.3105;43.60989;27.10138;43.64063;28.67791;43.63577;
6.700597;0;1;SelfAtOther;53.2557;17.57535;55.26696;17.57751;54.42006;17.61316;56.37689;17.61533;
6.700597;1;0;OtherAtSelf;25.74415;43.62631;27.34698;43.62128;27.16501;43.65222;28.71306;43.64691;
6.717172;0;1;SelfAtOther;54.95036;17.24329;56.96111;17.24603;56.07869;17.28308;58.0341;17.28586;
6.717172;1;0;OtherAtSelf;25.80197;43.6373;27.37893;43.63181;27.22254;43.66299;28.74378;43.65726;
6.733701;0;1;SelfAtOther;57.42809;16.70593;59.43799;16.7095;58.51583;16.74817;60.46941;16.75174;
6.733701;1;0;OtherAtSelf;13.53069;25.14194;15.07625;25.13654;15.06685;25.12555;16.55583;25.11987;
6.750516;0;1;SelfAtOther;57.07629;16.83765;59.08638;16.84128;58.14341;16.88022;60.09674;16.88379;
6.750516;1;0;OtherAtSelf;13.5345;25.14481;15.06648;25.13931;15.07092;25.12839;16.54587;25.12259;
6.76752;0;1;SelfAtOther;57.24937;16.81915;59.25941;16.82294;58.30412;16.86212;60.25714;16.86584;
6.76752;1;0;OtherAtSelf;13.5448;25.14783;15.06803;25.14218;15.08123;25.13135;16.54714;25.12543;
6.78382;0;1;SelfAtOther;57.37323;16.80374;59.38324;16.80759;58.4202;16.84692;60.373;16.85071;
6.78382;1;0;OtherAtSelf;13.55164;25.14978;15.06929;25.14407;15.08806;25.1333;16.54822;25.12729;
6.800696;0;1;SelfAtOther;57.89946;17.07153;59.90908;17.07526;58.93742;17.11584;60.88965;17.11948;
6.800696;1;0;OtherAtSelf;13.56026;25.14401;15.07116;25.13846;15.09623;25.12766;16.54947;25.1218;
6.817327;0;1;SelfAtOther;58.15763;17.03439;60.16715;17.03815;59.18876;17.07892;61.14073;17.08261;
6.817327;1;0;OtherAtSelf;13.5685;25.14429;15.07406;25.13873;15.10435;25.12793;16.5521;25.12207;
6.834282;0;1;SelfAtOther;58.97284;16.80316;60.98207;16.80719;59.99347;16.84833;61.94492;16.85226;
6.834282;1;0;OtherAtSelf;13.59124;25.14883;15.0881;25.1431;15.12682;25.13235;16.5656;25.12631;
6.850543;0;1;SelfAtOther;59.43229;16.7446;61.44132;16.74875;60.44287;16.79022;62.3939;16.79428;
6.850543;1;0;OtherAtSelf;13.60521;25.15079;15.09426;25.14499;15.1406;25.13428;16.57136;25.12817;
6.867196;0;1;SelfAtOther;59.58499;16.76361;61.59395;16.76776;60.58857;16.80954;62.53938;16.81363;
6.867196;1;0;OtherAtSelf;13.6112;25.15115;15.09505;25.14529;15.14652;25.13461;16.57193;25.12848;
6.883735;0;1;SelfAtOther;59.64164;17.0528;61.65041;17.05673;60.64059;17.0993;62.59114;17.10315;
6.883735;1;0;OtherAtSelf;13.60923;25.14478;15.0899;25.13913;15.14433;25.12833;16.56648;25.12241;
6.900407;0;1;SelfAtOther;59.86037;17.01703;61.86906;17.021;60.8553;17.06363;62.80566;17.0675;
6.900407;1;0;OtherAtSelf;13.61511;25.14444;15.09243;25.13879;15.1501;25.12805;16.56883;25.12213;
6.917529;0;1;SelfAtOther;60.04691;17.31137;62.05534;17.31509;61.03764;17.3587;62.98768;17.36237;
6.917529;1;0;OtherAtSelf;13.61455;25.13696;15.08875;25.13153;15.1492;25.12067;16.56475;25.11496;
6.933993;0;1;SelfAtOther;59.95527;17.03842;61.96388;17.0423;60.94505;17.08514;62.89524;17.08896;
6.933993;1;0;OtherAtSelf;13.61824;25.14206;15.09143;25.13647;15.15313;25.1257;16.56761;25.11984;
6.950378;0;1;SelfAtOther;59.86387;17.06537;61.87252;17.06924;60.85356;17.11209;62.80378;17.11588;
6.950378;1;0;OtherAtSelf;13.61643;25.14175;15.08968;25.1362;15.15136;25.12543;16.56591;25.11957;
6.967193;0;1;SelfAtOther;59.86375;17.0654;61.87242;17.06927;60.85344;17.11209;62.80367;17.11588;
6.967193;1;0;OtherAtSelf;13.61644;25.14178;15.08969;25.1362;15.15135;25.1254;16.5659;25.11954;
6.983947;0;1;SelfAtOther;59.86386;17.06534;61.87252;17.06921;60.85354;17.11206;62.80376;17.11584;
6.983947;1;0;OtherAtSelf;13.61644;25.14178;15.08969;25.1362;15.15134;25.12537;16.56589;25.11954;
7.000256;0;1;SelfAtOther;59.86381;17.0654;61.87246;17.06927;60.85346;17.11206;62.80369;17.11584;
7.000256;1;0;OtherAtSelf;13.61643;25.14175;15.08968;25.1362;15.15134;25.12537;16.56589;25.11951;
7.009186;0;1;SelfAtOther;59.86382;17.06537;61.87246;17.06927;60.85346;17.11206;62.80369;17.11584;
7.009186;1;0;OtherAtSelf;13.61644;25.14178;15.08969;25.1362;15.15135;25.1254;16.5659;25.11957;
7.025399;0;1;SelfAtOther;59.94811;17.04227;61.95673;17.04617;60.9371;17.08899;62.88727;17.0928;
7.025399;1;0;OtherAtSelf;13.61856;25.14221;15.09118;25.13663;15.15343;25.12582;16.56734;25.11996;
7.051342;0;1;SelfAtOther;59.88919;17.18188;61.89778;17.18567;60.87806;17.22876;62.82821;17.23248;
7.051342;1;0;OtherAtSelf;13.61507;25.13913;15.08784;25.13364;15.14989;25.12274;16.56395;25.11697;
7.067307;0;1;SelfAtOther;59.89313;17.10544;61.90175;17.10925;60.8822;17.15219;62.83237;17.15594;
7.067307;1;0;OtherAtSelf;13.6163;25.14038;15.08907;25.13486;15.15117;25.12405;16.56523;25.11823;
7.083992;0;1;SelfAtOther;59.89307;17.10544;61.90168;17.10925;60.88216;17.15219;62.83233;17.15594;
7.083992;1;0;OtherAtSelf;13.61629;25.14038;15.08907;25.13486;15.15116;25.12405;16.56523;25.11823;
7.10063;0;1;SelfAtOther;59.89313;17.10538;61.90174;17.10922;60.88222;17.15219;62.83239;17.15591;
7.10063;1;0;OtherAtSelf;13.6163;25.14038;15.08907;25.13486;15.15116;25.12405;16.56523;25.11823;
7.117143;0;1;SelfAtOther;59.89312;17.10541;61.90173;17.10922;60.8822;17.15219;62.83237;17.15594;
7.117143;1;0;OtherAtSelf;13.6163;25.14038;15.08908;25.13486;15.15116;25.12402;16.56523;25.11819;
7.133793;0;1;SelfAtOther;59.89312;17.10541;61.90173;17.10922;60.8822;17.15219;62.83238;17.15594;
7.133793;1;0;OtherAtSelf;13.6163;25.14038;15.08908;25.13486;15.15115;25.12402;16.56522;25.11819;
7.150668;0;1;SelfAtOther;59.60901;16.69174;61.61798;16.69589;60.60093;16.73749;62.55149;16.74155;
7.150668;1;0;OtherAtSelf;13.61811;25.15045;15.09297;25.14462;15.15344;25.13394;16.5696;25.12781;
7.16711;0;1;SelfAtOther;59.56146;16.63229;61.57051;16.63654;60.55501;16.67795;62.50567;16.6821;
7.16711;1;0;OtherAtSelf;13.61819;25.15353;15.09443;25.14761;15.15363;25.13696;16.5712;25.13077;
7.18398;0;1;SelfAtOther;59.60159;16.8461;61.61051;16.85022;60.59541;16.89224;62.54597;16.89627;
7.18398;1;0;OtherAtSelf;13.61509;25.14969;15.09184;25.14389;15.15038;25.13324;16.56849;25.12714;
7.200648;0;1;SelfAtOther;59.49063;16.75101;61.49965;16.75519;60.48592;16.79681;62.43662;16.8009;
7.200648;1;0;OtherAtSelf;13.61432;25.15195;15.09218;25.14609;15.14973;25.13547;16.56898;25.1293;
7.217202;0;1;SelfAtOther;59.40761;16.84732;61.41664;16.85144;60.40425;16.89325;62.35498;16.89725;
7.217202;1;0;OtherAtSelf;13.61062;25.15009;15.08967;25.14426;15.14602;25.13361;16.56648;25.1275;
7.233957;0;1;SelfAtOther;59.11111;16.55011;61.12044;16.55441;60.11141;16.59521;62.06251;16.59943;
7.233957;1;0;OtherAtSelf;13.60945;25.1572;15.09127;25.15118;15.14522;25.14059;16.56852;25.13428;
7.250762;0;1;SelfAtOther;58.76469;16.48862;60.77425;16.49298;59.76974;16.53326;61.72116;16.53754;
7.250762;1;0;OtherAtSelf;13.60294;25.16006;15.08871;25.15396;15.13897;25.14343;16.56631;25.13702;
7.267094;0;1;SelfAtOther;58.16852;16.35867;60.17846;16.36316;59.18134;16.40253;61.1333;16.40689;
7.267094;1;0;OtherAtSelf;13.59198;25.16458;15.08413;25.15839;15.12846;25.14789;16.56233;25.14139;
7.283745;0;1;SelfAtOther;57.51918;15.92081;59.52968;15.9256;58.54232;15.96332;60.49504;15.96799;
7.283745;1;0;OtherAtSelf;13.5844;25.17651;15.08454;25.16995;15.1216;25.15967;16.56364;25.1528;
7.300681;0;1;SelfAtOther;57.06337;15.78354;59.07419;15.78848;58.09583;15.82541;60.04906;15.83023;
7.300681;1;0;OtherAtSelf;13.57531;25.18246;15.08287;25.17575;15.11292;25.16559;16.56257;25.15854;
7.317108;0;1;SelfAtOther;56.09539;15.54565;58.10684;15.55072;57.14141;15.58621;59.09556;15.59119;
7.317108;1;0;OtherAtSelf;13.5572;25.19092;15.07562;25.18399;15.09556;25.17395;16.55635;25.16669;
7.333843;0;1;SelfAtOther;55.33062;15.45267;57.34248;15.45779;56.39062;15.49234;58.34551;15.49738;
7.333843;1;0;OtherAtSelf;13.53945;25.19574;15.06886;25.18869;15.07833;25.17871;16.55041;25.17133;
